epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,39.4499,0.88016,0.73313,1.23446,0.80738,0.36739,0.49527,0.23364,1.91325,2.30301,1.67054,1.25927e-05,1.25927e-05,1.25927e-05
91,40.3011,0.71593,0.56376,1.07027,0.80738,0.36739,0.49527,0.23364,1.91325,2.30301,1.67054,1.16739e-05,1.16739e-05,1.16739e-05
92,40.8277,0.57254,0.47223,0.9028,0.80826,0.36703,0.50257,0.24653,1.89191,2.306,1.65803,1.07315e-05,1.07315e-05,1.07315e-05
93,41.3044,0.68183,0.58413,0.9534,0.80826,0.36703,0.50257,0.24653,1.89191,2.306,1.65803,9.76562e-06,9.76562e-06,9.76562e-06
94,41.7735,0.724,0.72343,1.11372,0.80826,0.36703,0.50257,0.24653,1.89191,2.306,1.65803,8.77613e-06,8.77613e-06,8.77613e-06
95,42.2262,0.6098,0.69848,1.13603,0.80826,0.36703,0.50257,0.24653,1.89191,2.306,1.65803,7.76308e-06,7.76308e-06,7.76308e-06
96,42.6782,0.57773,0.55924,1.07986,0.85904,0.37439,0.51186,0.23976,1.91668,2.29271,1.65947,6.72648e-06,6.72648e-06,6.72648e-06
97,43.1424,0.52091,0.47738,0.92938,0.85904,0.37439,0.51186,0.23976,1.91668,2.29271,1.65947,5.6663e-06,5.6663e-06,5.6663e-06
98,43.6062,0.64642,0.58082,1.05073,0.85904,0.37439,0.51186,0.23976,1.91668,2.29271,1.65947,4.58257e-06,4.58257e-06,4.58257e-06
99,44.0482,0.71878,0.59665,0.92675,0.85904,0.37439,0.51186,0.23976,1.91668,2.29271,1.65947,3.47528e-06,3.47528e-06,3.47528e-06
100,44.5217,0.87785,0.63478,1.08755,0.85889,0.3721,0.52259,0.25082,1.92885,2.21252,1.67282,2.34442e-06,2.34442e-06,2.34442e-06
