epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,25.184,0.95884,0.76184,1.39327,0.80367,0.36876,0.48198,0.29004,1.87652,1.93817,1.61831,2.99066e-05,2.99066e-05,2.99066e-05
56,25.6245,0.7887,0.6783,1.23422,0.80367,0.36876,0.48198,0.29004,1.87652,1.93817,1.61831,2.98125e-05,2.98125e-05,2.98125e-05
57,26.0943,0.89515,0.85006,1.24264,0.79135,0.36889,0.47867,0.28753,1.87745,1.96325,1.62258,2.96948e-05,2.96948e-05,2.96948e-05
58,26.5537,0.70822,0.65818,1.18101,0.79135,0.36889,0.47867,0.28753,1.87745,1.96325,1.62258,2.95535e-05,2.95535e-05,2.95535e-05
59,27.0027,0.87417,0.69519,1.234,0.79135,0.36889,0.47867,0.28753,1.87745,1.96325,1.62258,2.93887e-05,2.93887e-05,2.93887e-05
60,27.4689,0.95585,0.74086,1.33364,0.79142,0.37072,0.47094,0.28302,1.86444,1.97135,1.62903,2.92003e-05,2.92003e-05,2.92003e-05
61,27.9297,0.78034,0.6393,1.14592,0.79142,0.37072,0.47094,0.28302,1.86444,1.97135,1.62903,2.89884e-05,2.89884e-05,2.89884e-05
62,28.3869,1.02625,0.93782,1.45145,0.79142,0.37072,0.47094,0.28302,1.86444,1.97135,1.62903,2.87529e-05,2.87529e-05,2.87529e-05
63,28.8601,0.72211,0.58882,1.11114,0.79212,0.37115,0.46666,0.28017,1.87539,1.97819,1.62995,2.84938e-05,2.84938e-05,2.84938e-05
64,29.3236,0.68851,0.58839,1.05747,0.79212,0.37115,0.46666,0.28017,1.87539,1.97819,1.62995,2.82112e-05,2.82112e-05,2.82112e-05
65,29.7701,0.64264,0.69192,1.15306,0.79212,0.37115,0.46666,0.28017,1.87539,1.97819,1.62995,2.7905e-05,2.7905e-05,2.7905e-05
66,30.2328,0.61229,0.65893,1.11283,0.79467,0.37282,0.50884,0.28546,1.86439,2.0168,1.62146,2.75753e-05,2.75753e-05,2.75753e-05
67,30.6917,0.72283,0.64052,1.11889,0.79467,0.37282,0.50884,0.28546,1.86439,2.0168,1.62146,2.7222e-05,2.7222e-05,2.7222e-05
68,31.1523,0.67378,0.67408,1.1877,0.79467,0.37282,0.50884,0.28546,1.86439,2.0168,1.62146,2.68451e-05,2.68451e-05,2.68451e-05
69,31.6083,0.91739,0.68241,1.13534,0.79284,0.37427,0.50935,0.27706,1.89512,2.0415,1.64701,2.64447e-05,2.64447e-05,2.64447e-05
70,32.0691,0.784,0.70348,1.17774,0.79284,0.37427,0.50935,0.27706,1.89512,2.0415,1.64701,2.60207e-05,2.60207e-05,2.60207e-05
71,32.5322,0.68614,0.74937,1.18357,0.79284,0.37427,0.50935,0.27706,1.89512,2.0415,1.64701,2.55731e-05,2.55731e-05,2.55731e-05
72,33.0108,0.89217,0.69853,1.25006,0.79341,0.37829,0.51199,0.27595,1.85159,2.09607,1.63798,2.5102e-05,2.5102e-05,2.5102e-05
73,33.4758,0.80407,0.73254,1.26454,0.79341,0.37829,0.51199,0.27595,1.85159,2.09607,1.63798,2.46073e-05,2.46073e-05,2.46073e-05
74,33.9457,0.89719,0.74543,1.38116,0.79341,0.37829,0.51199,0.27595,1.85159,2.09607,1.63798,2.40891e-05,2.40891e-05,2.40891e-05
75,34.7535,0.7337,0.73355,1.24298,0.80115,0.37875,0.49993,0.27046,1.86538,2.16408,1.64786,2.35472e-05,2.35472e-05,2.35472e-05
76,35.2249,0.87605,0.70965,1.22927,0.80115,0.37875,0.49993,0.27046,1.86538,2.16408,1.64786,2.29819e-05,2.29819e-05,2.29819e-05
77,35.6884,0.7223,0.59188,1.14021,0.80115,0.37875,0.49993,0.27046,1.86538,2.16408,1.64786,2.23929e-05,2.23929e-05,2.23929e-05
78,36.1635,0.96234,0.75199,1.31987,0.81241,0.37057,0.50248,0.25022,1.88163,2.20343,1.65091,2.17805e-05,2.17805e-05,2.17805e-05
79,36.6355,0.58246,0.56983,0.97493,0.81241,0.37057,0.50248,0.25022,1.88163,2.20343,1.65091,2.11444e-05,2.11444e-05,2.11444e-05
80,37.1185,0.7116,0.70777,1.14268,0.81241,0.37057,0.50248,0.25022,1.88163,2.20343,1.65091,2.04848e-05,2.04848e-05,2.04848e-05
81,37.5971,0.65081,0.63866,1.13158,0.81424,0.37455,0.4924,0.26075,1.89689,2.22589,1.65527,1.98016e-05,1.98016e-05,1.98016e-05
82,38.0926,0.56246,0.59252,1.02614,0.81424,0.37455,0.4924,0.26075,1.89689,2.22589,1.65527,1.90949e-05,1.90949e-05,1.90949e-05
83,38.5572,0.8332,0.6639,1.26424,0.81424,0.37455,0.4924,0.26075,1.89689,2.22589,1.65527,1.83646e-05,1.83646e-05,1.83646e-05
84,39.0244,0.79582,0.66575,1.10355,0.81452,0.37713,0.50097,0.26417,1.91153,2.26576,1.6611,1.76107e-05,1.76107e-05,1.76107e-05
85,39.4934,0.51388,0.4441,0.96669,0.81452,0.37713,0.50097,0.26417,1.91153,2.26576,1.6611,1.68333e-05,1.68333e-05,1.68333e-05
86,39.945,1.09467,0.86587,1.35816,0.81452,0.37713,0.50097,0.26417,1.91153,2.26576,1.6611,1.60323e-05,1.60323e-05,1.60323e-05
87,40.3888,0.86035,0.67646,1.17842,0.81452,0.37713,0.50097,0.26417,1.91153,2.26576,1.6611,1.52077e-05,1.52077e-05,1.52077e-05
88,40.8588,0.77206,0.67226,1.15511,0.80942,0.36656,0.49468,0.2334,1.92815,2.331,1.67465,1.43596e-05,1.43596e-05,1.43596e-05
89,41.3346,0.70175,0.5056,1.14776,0.80942,0.36656,0.49468,0.2334,1.92815,2.331,1.67465,1.34879e-05,1.34879e-05,1.34879e-05
90,41.8075,0.87483,0.74057,1.22597,0.80942,0.36656,0.49468,0.2334,1.92815,2.331,1.67465,1.25927e-05,1.25927e-05,1.25927e-05
91,42.6448,0.69557,0.55406,1.06721,0.80942,0.36656,0.49468,0.2334,1.92815,2.331,1.67465,1.16739e-05,1.16739e-05,1.16739e-05
92,43.1808,0.58978,0.45997,0.90907,0.80788,0.36266,0.50161,0.24643,1.91381,2.31722,1.66283,1.07315e-05,1.07315e-05,1.07315e-05
93,43.6464,0.68804,0.5824,0.9535,0.80788,0.36266,0.50161,0.24643,1.91381,2.31722,1.66283,9.76562e-06,9.76562e-06,9.76562e-06
94,44.1147,0.72384,0.71753,1.12253,0.80788,0.36266,0.50161,0.24643,1.91381,2.31722,1.66283,8.77613e-06,8.77613e-06,8.77613e-06
95,44.5969,0.60818,0.70763,1.1452,0.80788,0.36266,0.50161,0.24643,1.91381,2.31722,1.66283,7.76308e-06,7.76308e-06,7.76308e-06
96,45.0543,0.57936,0.53321,1.07669,0.86799,0.37615,0.51161,0.23604,1.92689,2.30044,1.66207,6.72648e-06,6.72648e-06,6.72648e-06
97,45.5186,0.52172,0.47086,0.92765,0.86799,0.37615,0.51161,0.23604,1.92689,2.30044,1.66207,5.6663e-06,5.6663e-06,5.6663e-06
98,45.987,0.63646,0.58492,1.03865,0.86799,0.37615,0.51161,0.23604,1.92689,2.30044,1.66207,4.58257e-06,4.58257e-06,4.58257e-06
99,46.4574,0.72888,0.5836,0.93268,0.86799,0.37615,0.51161,0.23604,1.92689,2.30044,1.66207,3.47528e-06,3.47528e-06,3.47528e-06
100,46.944,0.87631,0.62256,1.08551,0.85129,0.37072,0.51062,0.27668,1.93383,2.21911,1.67296,2.34442e-06,2.34442e-06,2.34442e-06
